sentiment,txt
positive,انشاء الله هنعمل حاجه
negative, اقسم باللله ان العرب اكثر الشعوب تخلفاا
negative,﻿هات ناس تفهم .. و المثل بحكي اسأل مجرب و لا تسأل خبير
negative,صرماتي براس اهلك
negative, حرام السخرية من الناس
negative,﻿ طوقان بدور ع منصب يضل فيه عشر سنين لقدام لاسئلان في نووي و لا سلامة الاردن
positive,عمرتنا كانت مميزة جدا ورائعة
negative,﻿ يمكن جايين سكارى ويغنون !
positive,يا سلام ما أحلى أن يواسي المسلم أخاه  هذه هي أخلاق الإسلام التي أصبحنا نفتقدها يوماً بعد يوم
negative, جد اشي بخزي!!
negative, الله معكى يا حجه
negative, ازا كان حالك احسن من حالو دوس لايك وقول سبحان الله 
negative, يعني ما أختار الا الاغنيــه اللي أغلب أحرفها الحرف اللي يقرط فيه 
negative,﻿ والله الحياة كلها بتخزي بدونكم 
positive,حلو
positive,فعلا
negative,مسخرة﻿
positive,الحمدلله على كل حال
negative, لأن ما بعتقد انو في هالقد عاهات ما بيعرفوا انو صوتهم نشااز لأنو كتيير نشاز وازا في رح تكون حالات استثنائية مو بهاد الكم الكبير
positive,اميره ممكن اضافه لو سمحتي
positive,اللهم ارزقنا وإياك الجنه 
positive,كلام حقيقي
negative, يستهبلووا
negative,اذا اليابان اكلت هوا من النووي كيف احنا
negative, العرق كل شوي يزييد
positive,اللهم ارزقنا الاخلاص
negative,نهايه مواطن طفران
positive,اللهم ثبته على دين الاسلام اللهم يا مقلب القلوب ثبت قلبي على دينك
negative, مجانين العرب
negative,تابعت هذا الجوال من بداية صدوره وقبل اقترابه للعالم العربي .. فعلا يستحق كل هذه الاهمية
negative,﻿عاهات 
negative,وذلك ليذوقوا ايران وسوريا وشيعتهم وبال امرهم
positive,اللهم ارزقني حبك و حب من أحبك و حب عمل يقربني لحبك
positive,اللهم أعنا على تقواك
negative, أنا متأكده أنو هذولي مدفوعلهم علشان يجون يغنون لأنو مافي ناس مهابيل لهالدرجه
positive,الله يبارك فيك لانك غيرت في صاحبتي كتير وهي من المتؤثرين فيك وهي اللي عرفتني عليك
negative,احنا بنتهاوش مع الكتب  
positive,﻿اللهم ارنا الحق حقا و ارزقنا اتباعه و ارنا الباطل باطلا و ارزقنا اجتنابه
negative, هههههههههههههههههههه وهابي عفن ومكبوت تفكيرك محصور بين فخذيك فقط لاغير. الجنة اللتي ستدخلها أنت لا أريد دخولها، جهنم أشرفلي وأهون علي من أن أكون مع أحد الوهابيين المنحطين لواطيي الأطفال
negative, اقلب وجهك
positive,ابدأ بنفسى الأول اغيرها
positive,﻿اللهم اغننا بحلالك عن حرامك و اغننا بفضلك عمن سواك
negative,بقرف زيك
negative,﻿مزعج الي كثييير
positive,اللهم ارضنا بقضائك
positive,﻿ اللهم عفوك و رضاك و الجنه 
negative, من زمان ماشفت مخلوقات فضائيه هع 
negative,﻿الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه و اﻷهم من هيك انه المفاعل بحاجه لتبريد دائم و للاسف وين المي يلي عنا؟؟؟؟
negative,﻿ اكدب عليك انت منو اللي كاذب عليك
positive,يارب قويني
positive,﻿من توكل على الله .. يعانق قلبه النور و الصفاء 
positive,الله أكرم ألآكرمين اللهم أعنا على أنفسنا واللهم أرضى عنك يارب العالمين
positive,ركز في الإجابه وقول يارب وخد قرار 
negative,﻿ لا والله ما بلسه يع
negative, الحروف عنده مزغوبه
positive,ثبتك الله يا أستاذي و نصرك
negative,شي مؤكد انك حمار 
negative,الله لا يرفعه من مكانه اللي برفع الاسعار
negative,خرى عليك
positive,الحمد لله الذي نصرنا نصرا مؤزرا
negative,﻿ صرت عاءل أشك أب هل أمر صراحتن
negative,﻿يا حبيبي هاي صار للرجال تنانير؟؟؟؟؟؟؟؟  تفي ع هيك رجالة
negative, مين وله؟
positive,وفقكم الله
negative,﻿و ارضيت يا دولة الرئيس تكون ... الله اسهل عليك يا عون الخصاونه
positive,﻿دعاء جميل ماشاء الله
positive,ايه الاحساس الراقى ده
negative,﻿الدول المتقدمة الان تتجه لستخدام الطاقة المتجدده لانها اقل كلفة و ليس لها مخاطر على البيئة و الانسان و نحن الان نعاني من ضائقة مالية كبيرة و شحة مياه شديدة و كلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان و هي الدولة الاكثر تطور في مجال التكنولوجيا و هي عبارة عن جزر و كذلك كم أثر علينا المفاعل النووي الاسرائيلي و حالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد
positive,الحمد الله على الاسلام .. يا رب اهدي كل من احب هذاا الدين وكل من تردد في دخوله .. وارحمنا جميعا 
positive,اشتاق للصلاه ودائما 
negative, والله لو طلبوا مين اللي عندو قلب قوي ١٠٠ متر للجري مايتقدم ولا حمار عربي 
negative,والله انا خايف انو طخوا بعد هاي الصورة 
positive,عجل يا الله
positive,يميييي شو هالاكلات الزاكبة هاي شهتونا
positive,الله عليك يا شيخ تحفة
positive,ياسلام حلوشديد
negative, والله عاهات
positive,يسعد صباحك بذكر الرحمان
negative,﻿و سيارة الحكومه من السعوديه اجن هديه يزلامه المسؤالين اكلونا
positive,يا ريت لو يعملوا دورات قبل الزواج 
positive,يا رب اريد تجديد ايماني ساعدني
positive,عجبتنى الحلقه
negative,﻿و الله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش الله لا يوفق الي كان السبب و الله حرام
positive,نعم والحمد لله
positive,﻿اللهم ان كان رزقي بعيدا فقربه لي و ان كان قريبا فيسره لي وان كان كثيرا فبارك لي فيه
positive,صباح الخيرات والعبادات
positive,﻿الله ما يحرمنا من كلماتك الحلوة يا شيخنا
positive,والله رفعتوا راسنا يا شباب الله يقويكم
positive,﻿صباح الخير و النور و الأنوار 
negative, نيله تنيلكم من وين جايبين هالحثانه 
positive,وجعلنا من الماء كل شيء حي
positive,ربك دايما جنبك لو ناديتوا ها تلاقه
negative,﻿و هكذا جنت على نفسها براقش
positive,ده عمله نادرة...الاخلاق ملهاش علاقه بالدين
positive,الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين
positive,هذا الشخص هو انت يامصطفى 
positive,الله يهدي النفوس
negative, ؟ سخافة الشاميين ابدا ما ينفع لهم الكوميديا
positive,﻿اللهم ارزقنا العمل الصالح و الزريه الصالحه و ارزقنا يا الله حسن الخاتمه
positive,يارب تهدينا إلي الصراط المستقيم
positive,حينما ننجح فى الانتصار على انفسنا
negative,﻿انا لله و انا اليه راجعون و الله يستر هالبلد
positive,﻿كن كما أنت و لا تتغير من أجل أحد
negative,﻿ ابو معيتق قطع اوتار العود وقال السلام عليكم 
